Sorszám,Kész,Munkaszám,Beérkezés,Ki hozta be?,Kiszállítás / Elkészülés,Megrendelő,Géptípus,"Gépépítőelem 
megnevezése","Gépépítőelem 
típusa","Gépépítőelem 
sorozatszáma",Hibajelenség,Mechanikus munka,Elektromos munka,Dolgozó(k),Telephelyi munkaóra,"Gépészeti 
 munka", Mechanikus anyagok, Elektromos anyagok," Külsős megbízásos munkák, beszállítók","Tartozékok, megjegyzés",fiz/gar,✓,
TH0428,0,M18128,2023.12.13.,,2023.12.21.,PATAKI ZSOLT,MINIturn,Keresztszán,N/A,N/A,"szétszedte a Miniturn-t, valóban az anya lötyög a keresztszán golyósorsóján. Még a héten valamikor beszállítja hozzánk a gépet. Előzetes ajánlatot kért.","Szétszerelés; X tengely anya felhasítás, beállítás; járatás",N/A,SP,6 óra,N/A,N/A,N/A,N/A,N/A,,,
TH0429,0,M13194,2023.12.01.,,2024.01.22.,METAL-99 KFT.,McB-1604B,"""Y"" tengely orsó+motor bordáskerék",8YU szett,N/A,A tengelyen lévő bordás kerék fogazása eltérő és foghegyre ül néhány osztás után a szíj.  ,"Tisztítás, méretezés és megbeszéltek alapján tervezéssel 8M típusra lesz átalakítva. ",,,,René elvitte az alkatrészeket rajzolásra. Ha kész mehet gyártásba. SZÉV igény száma:,,,,SZÉV-347,,,
TH0430,0,M15232,2023.12.14.,,2023.12.16.,METARAD CNC KFT.,VD-510S-5AX,Körasztal,TJR FAD-170F-HDEC4,S9-62,"Anakonda kijött a csatlakozóból.Teljes átnézés,hibás részegységek javítása.",Asztal leszerelése beszállítása az NCT-be. ,Anakonda komplett csere,KR,8 óra,N/A,N/A,"Anakonda 4 fm;
4x1,5 motorkábel 4 fm; 
8x0,14 EnDat kábel 4 fm;
12x0,75 olajálló kábel 4 fm; 
Anakonda csatlakozó komplett 4db;
582180-01 HDH csati 2db;
Kábelsaru 8db ",N/A,N/A,,,
TH0431,0,M23137,2023.12.14.,,2023.12.15.,NCT (ALSTOM HUNGARY KFT.),MITSUBISHI,SERVO MOTOR,"X A12-54-20-EH/4096 S/N MA 450-1629
Y A22-54-20-EH/4096 S/N:MA440-1496
Z AB22-54-20-EH/4096 S/N:MA 509-1758
B A6 A TÖBBI RÉSZE NINCS MEG AZ ADATTÁBLÁNAK",LÁSD I OSZLOP,Csapágyazási igény + átjeladózás,Csapágyazás,Jeladózá Józsi ,BA; SP; TI; RJ,1+6+2+?,N/A,"3 db SKF 6208 2Z C3
3 db SKF 6207 2Z C3
1 db SKF 6204 2Z C3
1 db SKF 6205 2Z C3
3 db 80x40x10 szimering
1 db 52x25x7 szimering ",N/A,N/A,N/A,,,
TH0432,0,M20144,2023.12.20.,,2023.12.22.,TOMETAL KFT,KAFO-NCT CV-7A,Karforgató motor,FM22,2023.3.2,"Ügyfél elmondása alapján recsegő, ropogó hangja van. Minden szerszámcserénél megáll. ","Fékoldal szétszerelése, ellenőrzése takarítása. A mechanikus fékoldáshoz kiemelő alkatrész helyi gyártása. Fékoldás tesztelése és beállítása.",N/A,SP;KT,3 óra,N/A,N/A,N/A,N/A,N/A,,,
TH0433,0,M11169,2023.12.21.,,2024.01.30.,NEFAB,EmR-1200D (VL-1200),Főorsó motor,AiS 100-LW 26 H 150001/min,MA 2012-049,"Ügyfél elmondása alapján a motor zajos, csapágy gyanus, ezért kérik a csapágy cserét. Valamint olajfolyás is tapasztalható a motor hátsó részénél, amit fel is jelöltek. Gyorscsatikkal van szerelve a tömlő. Ezeknek a cseréjét kérik. Lehet érdemes lenne rendes hidraulika csatit kiajánlani tömlőkkel, de ezt egyeztetni kell az ÜF-el. ",Szétszerelés után láthatóvá vált a forgó és állórész sérülése is vélhetően a hátsó csapágy hibája miatt. Be kell vizsgáltatni a motort villamosan és ellenőrizni a javíthatóságot. Az első 2 csapágy is tejesen összesült. Hidraulika csatik hibásak és az ÜF által jelzett sziváregás is fennáll.,N/A,SP;BA,4 óra,N/A,2db 14-es gyorcsatlakozó felszerelése az új csere motorra,N/A,,Cseremotor: CC2-10-5156,,,
TH0434,0,M14106,2024.01.08.,,2024.01.09.,SCHÖN+SANDT H KFT.,Pinacho ST-180/1000,Revfej,Pragati BTP-50,51646,Forgácsolás közben a fej szemmel láthatóan elmozdul. Alkalmatlan a megmunkálásra.,Az erősebb rugóval lett újraszerelve a Smici szerinti alaphelyzet szerint. Egy nagyobb erőkar hatására sem mozdul mert a mérőóra.,N/A,SP; BA,12 óra,N/A,N/A,N/A,N/A,N/A,,,
TH0435,0,M15268,2024.01.09.,,2024.01.15.,MST ENGINEERING KFT.,EmR-1304B,Szerszámcserélő kar ,N/A,N/A,"Szerszámcserekor a cserélőkar rögzítő stiftje  a rugó ellenében sem jön ki a hüvelyből, így szerszámot ejt, további mechanikus javítást illetve cserét igényell.","Kar szétszerelése, kitisztítása, újrazsírzása és mozgó részek átjáratása. Kosz került be a mozgó részek közés és ez okozhatta a megszorulást. ",N/A,BA,2 óra,N/A,N/A,N/A,N/A,N/A,,,
TH0436,0,M20089,2024.01.11.,,2024.01.25.,TÉRVÁZ KFT.,SCMC-40 / 4500,Főorsó és erőfokozó,,,"A főorsón lévő munkahenger hibás (átenged), ezért a hidraulika olaj visszajut a tehermentesítő ágba","Főorsó takarítás, szétszerelés, csapágyak újrazsírzása. O gyűrűk cseréje. Összeszerelés járatás. Ütés 0,01 mm, behúzóerő 9,7 kN alacsony gombával és SK tüskével. BT orsót BT gombával nem tudun mérni ! 
Erőfokozó munkahenger teljes felújítása, tömítések cseréje. ",,BA+SP,5+5,,"KN/SN21 80 x 90 x 06/07 NBR90 MA21 (4016930090),10-21809021-00
AD48 80 x 90 x 06/08 AU92 (4016930090),10-48809092-00
2 db SNI39 28 x 35,5 x 05/06 AU92 (RS-73) (4016930090),10-28355050-00
X 110,49 x 5,33 NBR70 (4016930090),10-11049533-00
8 db O 139,50 x 3 NBR70 (4016930090),10-13950370-00
O 89,2 x 5,7 NBR70 (4016930090),10-08925770-00
2 db O 95 x 2 NBR70 (4016930090),10-00095270-00
O 119 x 3 NBR70 (4016930090),10-00119370-00
O 44 x 3 NBR70 (4016930090),10-00044370-00
O 27 x 3,5 NBR70 (4016930090),10-00273570-00
GY S6 100 x 115 x 9 NBR (39269097),10-61001159-00
10 db O 06,75 x 1,78 NBR70 (4016930090),10-06751787-00
O 28 x 3,5 NBR70 (4016930090),10-00283570-00",,Tömítések SEAL RING U2024/00395,,,,
TH0437,0,N/A,N/A,,2024.01.18,NCT,EROWA,N/A,N/A,N/A,"Szomorúan tapasztaltuk, hogy leszakadt vezetékek, hiányos gép talpak és elérhetetlen gép táp kábellel találkoztunk.
Kérném a szervizt, hogy szedjék le a burkolatokat. A géplábakat pótolják és szintezzék ki a legjobb tudásuk szerint. A leszakadt kábelt (egy gomb csatlakozó) szereljék meg és kössék be a helyére.
A kábeleket a gép alól tegyék elérhetővé (ha lejön a burkolat akkor ez meg is lesz).
A gép alá bedobott rögzítő elemeket ellenőrizzék, hogy biztosan elfér-e felettük a gép amikor mozog.
Kérem szóljatok, ha hozzáférünk a kábelekhez, hogy megnézzük be tudjuk-e kapcsolni a gépet hogy mozogjunk is vele.",A kért hiányosságok és beállítás elvégezve. 2 forgókapcsoló beköétse csak üzemközbeni funkciók ellenőrzése után töreténhet meg.,N/A,BA+SP,4+4,N/A,N/A,N/A,N/A,N/A,,,
TH0438,0,M22142,N/A,,2024.05.28,APTIV SERVICES HUNGARY,SPEED HAWK 550,KOMPLETT GÉP,N/A,655183,"- Elülső burkolat leszerelése a gépésztervezők segítése miatt
- Motorok típusának mehatározása, fotók készítése
- Főorsó jeladó típusa 
 - Szerszámtér burkolat sérült egyengetés + burkolat visszaragasztás
-Elszívó nyílások ellenőrzése
","A kért burkolatok leszerelése, motorok és jeladó azonosítása megtörtént. Fotók elküldve a csoportba.",,BA;SP,,,"Cosmotec WLA13C1A161A08 tartályos víz klíma 
Tömítés / O-gyűrű 420x3,0 NBR 70 (4016930090),10-00042003-00 
Keller porgyűjtő edény UNI-STAR XH porelszívóhoz,10-00023952-00",,,,,,
TH0439,0,M13179,2024.01.16.,,2024.01.26,MED-PLAST 2000 KFT.,VD-510S,Főorsó,Royal 12.000 RPM,168455,"Előzetes felmérés alapján jeleztük, hogy főorsó felújítása szükséges. A kúpja foltos. ","Takarítás, csapágycsere. ""O"" gyűrűk cseréje. Ütés tüske töve 0,01 mm, vége 0,02 mm. Behúzóerő 3,8 kN",N/A,SP+BA,8+4,N/A,- 4 db 7008 CTR SULP3,N/A,N/A,Főorsó és főmotor kuplunk távolságokat mindig le kell mérni és fel kell jelölni.,,,
TH0440,0,M13179,2024.01.16.,,2024.01.26,MED-PLAST 2000 KFT.,VD-510S,Főmotor,SVM-90L-20,13072434,"Előzetes felmérés alapján jeleztük, hogy főmotor felújítása szükséges. ","A motor alapos tisztítása a rengeteg olajtól. Csapágycsere. Járatás, kiegyensúlyozás.",N/A,BA+RJ,8 óra,N/A,2db NTN 6206 ZZ (6206ZZCM/5K),N/A,N/A,N/A,,,
TH0441,0,M14066,2024.01.18.,,2024.01.24,BIOTECH GMBH,DK-7732F,Szűrőtartály,,,"A szűrőház egység nagyon rossz, korodált állapotban van. Eltört a hegesztés a szűrőháznál és a fedél nem húzható össze, így a tömítésnél ereszti a vizet.","Tartály takarítás, hegesztés,festés.",N/A,BA,3 óra,N/A,N/A,N/A,N/A,N/A,,,
TH0442,0,M06182,2024.01.22.,,2024.06.25.,METALCONSTRUCT ZRT.,TMV-850A,"Körasztal,fehér",,,01.22. Fékoldásnál a körasztalból kiáramlik a levegő és nem mindig áll vissza pozícióba.,"Takarítás, szétszerelés. A fék dugattyú szorult meg és vélhetően ez okozta tárcsa és pofák berágódását is. A pneumatikus csövek el vannak öregedve, az 5/2-es (AZ522ME) szelep cseréje is javasolt.
szétszerelés, takarítás, fék alkatészek cseréje, levegő szelep csere, összeszerelés 
04.15. készen van, már csak járatni kell",,"SP, BA",3 óra munka + 2 óra járatás,,"Tartalék GSA CNC-101R pneumatikus fék javító készlet,10-00023937-00 
5/2-es (AZ522ME) szelep 
Csapágy / NA4910-XL tűgörgős csapágy FAG,10-10000816-00
2 db Csapágy / AXK 7095 Tűgörgős csapágy,10-00006849-00 
4 db Csapágytartozék / AS 7095 axiális csapágy gyűrű INA-FAG,10-00006850-00 
Tömítés / O-gyűrű 132x3,0 NBR 70,10-00002692-00
2 db Tömítés / O-gyűrű 55x3,0 NBR 70,10-00055370-00
Tömítés / O-gyűrű 17x2,5 NBR 70,10-00108522-00
O 48 x 3 NBR70 (4016930090),10-00048370-00
O 40 x 3 NBR70 (4016930090),10-00403070-00
O 95 x 3,5 NBR70 (4016930090),10-00953570-00
S 105 x 125 x 13 RST NBR70 (8484109000),10-10512513-00
S 15 x 35 X 07 RST NBR70 GRN (4010210000),10-15350770-00
2 db 1/8"" 6-os lev. gy. csat.",,,,,,
TH0443,2,M21054,2024.02.01.,,,VKSZ,MXS-400DD,Körasztal,TJR FAD-400HS-AD500i-420,,"B tengelyt pozitív irányban mozgatva a tengelyterhelés megnő, a végállások jele elmegy",,,,,,"2 db Alapanyag / Menetes szár M10x1000 (8.8)(DIN976-1A)(Horg),10-00002714-00 
4 db O 300 x 3,5 NBR70 (4016930090),10-03003570-00 
4 db O 302 x 3,5 NBR70 (4016930090),10-03023570-00 
Auxiliary Tailstock Bearing Assembly:
Auxiliary Tailstock Spindle Part No. FDR035015-00
Needle Roller Bearing Part No. SBRTAF9011025
Star Ring Part No. SX236
O-ring + Wear-resistant Ring Part No. SOQ1100D-2202 (1/2)
O-ring + Wear-resistant Ring Part No. SOQ1100D-2202 (2/2) 
FAD-400HS-AD500i-420 körazstal / forgótengely állórésze,10-00033953-00 
4 db O 300 x 3,5 Q,10-00030035-00 
4 db Tömítés / O-gyűrű 300x3,5 NBR 70,10-00082603-00",,,ügyfél csere körasztalt kapott,,,
TH0444,0,M15103,2024.02.05.,,2024.03.05.,S.C. NOVUS ENG S.R.L.,EmL-510Ms,Motororsó (30.000RPM),,Theta TH-120.115005-07,Melegszik (nem menetzárlatos),,fojtó segítségével sikerült stabilizálni az orsómotort,Kopányi G.,,,,,,,,,
TH0445,0,M04030,2024.02.06.,,03.04.,METAL-99 KFT.,Chiron FZ-16,szerszámoldó munkahenger,,,nem lehet szerszámot váltani,"szétszerelés, tömítések cseréje, összeszerelés",,"BA,SP",6 óra,,"O 145 x 3 NBR70 (4016930090),10-00145370-00 
O 108 x 4 NBR90 (4016930090),10-10108490-00 
O 50 x 3 NBR70 (4016930090),10-00050370-00 
GY K8 140 x 125 x 7,5 (tm.) FLON2 (39269097),10-81401257-00 
O 123,19 x 6,99 NBR70 (4016930090),10-12319699-00",,,,,,
TH0446,0,M20005,2024.02.12.,,2024.03.07.,GYŐRFI JÓZSEF EV,EmL-510,X golyósorsó,,,"lóg 0,02-0,03 mm",-,,-,-,,"4 db S 32 x 48 X 08 RST NBR70 (8484109000),10-32480870-00",,"02.15. elszállítva a  Szimikronba 
03.04. visszakaptuk a golyósorsót",,,,
TH0447,0,M13234,2024.02.14.,,2024.02.23.,VAJDA MŰVEK KFT.,EmL-610B,Tárforgató motor + hajtómű,Rotom 5RK60GN-CPTs,VY19C240005,"tár megszorult, motorvédőt leveri, lehet a gond a motor, a hajtómű vagy a csapágyazás  - tár nincs megszorulva, forog","02.26. TI infó: nem lesz javítva, csak a beazonosítás miatt lett behozva",,,,,,,,ügyfél cseredarabot kapott Liming CG09B25S12 (MA17512039) + CM09RG60SBTW-MT (MA16905031-5),,,
TH0448,0,P24015,2024.02.15.,,2024.02.20.,METALCONSTRUCT ZRT.,TMV-850A,GSA CNC-200RA CNC körasztal,,,"a körasztal élesztése során a motor IC csatijában fázissorrend felcserélési hibát találtunk, melynek következtében megsérült a motor",,,,,,,,,,,,
TH0449,0,M22201,2024.02.26.,,2024.06.13.,NCT Taksony,MCV 1000,Főorsó,,,"Kovács Ádám: főorsó tüske ütésénel 0,13 mm mértünk. Így szeretnénk rajta csapágyakat 
cserélni, kúpköszörülni, illetve homlokköszörülni. Kérlek majd 
csekkoljuk a behúzóerőt, ennél mi 6,5 kN-t mértünk. 
02.26. AA: Behúzóerő jó. Kúp és homlok köszörülés. Axiálisan és radiálisan is van benne. 0,01 maradandó.","szétszerelés, csapágyak cseréje, összeszerelés, járatás",,"SP,BA",2x8 óra,,"2 db 10-10005156-00,Csapágy / HSS7014-E-T-P4S-UL orsócsapágy FAG 
3 db 10-10005118-00,Csapágy / HSS7015-E-T-P4S-UL orsócsapágy FAG",,"02.27. Spinexhez elküldve köszörülésre SZR2024/00443 
03.01-én visszaérkezett 
BET2024/00877",,,,
TH0450,0,M21127,2024.02.26.,KP;G,2024.02.26.,FEZIMA KFT.,MM-850E,Főorsó,Royal 12.000 RPM,471286,"6.000-nél kicsi hangja van, 10.000-nél nagyon hangos","szétszerelés, csapágyak cseréje, összeszerelés, járatás",,"SP,BA",14 óra,,"04.15. csapágyra vár 
4 db 60BNR10HTV1VSUELP3 csapágy 
4 db O-gyűrű 113 x 3",,"03.01. Spinexhez elküldve köszörülésre SZR2024/00481, 04.04-én visszaérkezett BET2024/01510",ügyfél csereorsót kapott sn: 292441,,,
TH0451,0,,,,,,,,,,,,,,,,,,,,,,
TH0452,0,M11161,2024.02.27.,SZ,2024.03.04.,EFT ÉS TÁRSAI SZERSZÁMÉLEZŐ ÉS GYÁRTÓ KFT.,JCL-60AHD,hidraulika szivattyú,Jia Cheng 90L,HHS01-L-199,"csapágyas, megszorul","szétszerelés, csapágyazás, összeszerelés",,BA,4 óra,,"Csapágy / 6204 2Z SKF,10-10009597-00 
Csapágy / 6206 2Z_S SKF mélyhornyú csapágy DGBB,10-00062062-00",,,,,,
TH0453,0,M18039,2024.03.05.,G ,2024.04.16.,TOP HOLDING ZRT.,EEN-400/1250,Késtartó,,,"nem mozog, egy vezeték el van szakadva","szétszerelés, rugócsere, kábel szakadás javítás, összeszerelés, járatás",,"SP, BA",5 óra munka + 2 óra járatás,,"3 db 10-00023782-00,Tartalék / Kiemelő rugó / Baruffaldi TAN160 revfej  Code: 999.204.04398",,,,,,
TH0454,0,M04030,2024.03.05.,G;TI,03.20.,METAL-99 KFT.,Chiron FZ-16,Főorsó,,B0 502 006 02 02,szerszámoldás bizonytalan,csapágygolyók cseréje,,BA,1 óra,,2 db 10-10013242-00 Csapágy / csapágygolyó 11mm,,,,,,
TH0455,1,-,-,,,NCT - SZÉV raktár,-,Főorsó,10.000 RPM,691102J328,alkatrészek lettek kiszerelve belőle - SZÉV2023-169 igény - TH0362 (Kokilla MM-800) miatt lett szétszedve,,,,,,"10 db Tömítés / O-gyűrű 15x2,65 FKM 80 (VITON),10-00083097-00 
10 db Tömítés / O-gyűrű 15x2,9 NBR 70,10-00083098-00",,,,,,
TH0456,0,,,,,,,,,,,,,,,,,,,,,,
TH0457,0,M07007,2024.03.06.,KP;PI,2024.03.25.,SOMAPAK KFT.,EmL-610,Szerszámoldó egység,Hao Cheng,,folyik belőle az olaj,"szétszerelés, tömítéscsere, összeszerelés",,BA,8 óra,,"O 88 x 5,5 NBR75 (4016930090),10-00885575-00 
Tömítés / O-gyűrű 94x3,0 NBR 70 (4016930090),10-00094370-00 
O 96 x 2 NBR70 (4016930090),10-00096270-00 
2 db O 40 x 3 NBR70 (4016930090),10-00403070-00 
O 40 x 3,5 NBR70 (4016930090),10-00403570-00 
O 60 x 3 NBR70 (4016930090),10-00060370-00 
O 14 x 2,5 NBR70 (4016930090),10-00142570-00 
KN/SN25 14 x 22 x 05/06 AU92 (TTU) (4016930090),10-25142205-10 
KN/SN25 40 x 50 x 06/07 AU92 (TTU) (4016930090),10-40500692-00",,,,,,
TH0458,0,M07334,2024.03.06.,KP;PI,2024.03.25.,SOMAPAK KFT.,EmL-610,Főorsó,Royal 8.000 RPM,110926,"szíj szakadt 830-as (830-5GT-30), szíjtárcsák kopottak, cserélni kell, főorsó, főmotor csapágyas
foróátvezető (Deublin 902-120-188) rossz, de nem kérik a cseréjét, helyette levegő bevezetőt kérnek","szétszerelés, csapágycsere, szíjtárcsa csere, összeszerelés",,"BA,SP",16 óra,,"4 db HCB7012-CT-P4SUL csapágy
szíjtárcsa",,,,,,
TH0459,0,M07334,2024.03.06.,KP;PI,2024.03.25.,SOMAPAK KFT.,EmL-610,Főmotor,DAF100B54A10-5/7kW,,"szíj szakadt 830-as, szíjtárcsák kopottak, cserélni kell, főorsó, főmotor csapágyas","szétszerelés, csapágycsere, szíjtárcsa csere, összeszerelés, járatás, mérés, kiegyensúlyozás",,"BA, SP, Kopányi G., Szegedi D.",19 óra,,"6209ZZC3 GA2 Koyo csapágy
6306-2RS1/C3 SKF csapágy
szíjtárcsa",,,,,,
TH0460,0,M11271,2024.03.13.,TI,2024.06.06.,MICROMARK IPARI ÉS MARKETING KFT.,TNL-130A,Bemérőkar,,,kotyog,"04.15. Taksonyból várunk hozzá alkatrészeket: csapágy, fődarab, érzékelő",,"SP,BA",10 óra,,"csak a váz maradt meg, minden mást cserélni kellett",,,,,,
TH0461,0,M09168,2024.03.18.,G,2024.04.11.,BERVINA KFT.,TOMILL-160,Főorsó,,,csapágyhang,"szétszerelés, csapágycsere, összeszerelés",,SP;G,2 x 8,,3 db Csapágy B7009-CT-P4SUL,,,,,,
TH0462,0,M09168,2024.03.18.,G,2024.04.11.,BERVINA KFT.,TOMILL-160,Főmotor,Lenze MDFKARS071-22,00385751,erősen rezonál (kiegyensúlyozatlan),"szétszerelés, csapágycsere, összeszerelés, főmotor kiegyensúlyozása",,BA,8 óra,,"Csapágy 6204Z
Csapágy 6203Z",,,,,,
TH0463,0,M22015,2024.03.21.,KP;TV,2024.04.18.,"FT LINE TERMELŐ, SZOLGÁLTATÓ ÉS KERESKEDELMI KFT.",VD-510S,Főorsó,Royal 20.000 RPM,151332,"alsó csapágy zajos, főorsó kúpja nem üt (0,015)","szétszerelés, csapágy csere, tömítés csere, összeszerelés 
04.15. készen van, vihető",,"SP, BA",8 óra munka + 3 óra járatás,,"3 db Tömítés / O-gyűrű 22x3,0 NBR 70,10-00004302-00
3 db Tömítés / O-gyűrű 94x3,0 NBR 70 (4016930090),10-00094370-00
2 db Tömítés / O-gyűrű 13x2,5 NBR 70,10-00005224-00 
4 db HCB7008-CT4-PSUL csapágy",,,,,,
TH0464,0,,,,,NCT AKADÉMIA,TOMILL,Főmotor,,,"4000 fölött rázkódik, munkahenger reed-relé csere szükséges",főmotor kiegyensúlyozása,,BA;SP;RákosrétiJ,6 óra,,,,,,,,
TH0465,0,M06271,2024.03.28.,SZG,2024.04.05.,NIVELCO ZRT.,TNL-100AL,Hűtővíz szivattyú,SPK2-19/19 modell: E3HDH2619P10702,,"„ Segédhajtás védlm! I023=0”
hűtővíz szivattyú motorvédője lekapcsol a motor melegedése miatt","átvizsgálás, szelep takarítása, próba",,BA,2 óra,,,,,,,,
TH0466,0,M06275,2024.03.28.,PI ,2024.04.05.,LAMI 2003 KFT.,EML-510,Szerszámoldó munkahenger,,,ereszti az olajat,nem javítható,,,,,,,,ügyfél csere munkahengert kapott,,,
TH0467,2,M06275,2024.03.28.,SZG,,LAMI 2003 KFT.,EML-510,Vízszivattyú,,,tömítés probléma,"04.15. tömítéseket kell gyártatni, a Seal Ring nem tudta megoldani, partner keresése folyamatban",,,,,,,,"ügyfél új szivattyút kapott - WALRUS szivattyú / TPHK 2T3-3 álló hűtőfolyadék szivattyú egység
(3 bar)",,,
TH0468,0,M13051,2024.04.03.,ügyfél hozta be,2024.04.10.,MILL-TURN KFT. ,MM-760,esernyős szerszámtár tárcsa,,,"elgörbült több helyen is, seeger gyűrűk, csapok pótlása, tárcsa egyengetés",,,"BA,SP",8 óra,,"1 klt Popszegecs 4,8 x 25,10-10004825-00 
Seeger gyűrű 6-os 8 db
Csap 6 x 23 4 db 
Távtartó gyűrű 10 x 16 3 db
M6 x 24 + zártanya 3 db",,,,,,
TH0469,0,M13166,2024.04.05.,KR,2024.04.22.,PRO FORM KFT.,EmR-1304D,Főmotor,AiS100,CC2-10-5024,"rendellenes hangja van, kuplung cserére szorul","szétszerelés, összeszerelés 
04.15. készen van, vihető",,"SP, BA",4 óra,,,,FÉMO,ügyfél cseremotort kapott: CC2-10-5204,,,
TH0470,2,M22124,2024.03.26.,KP;TV,,SZABÓ FOGASKERÉKGYÁRTÓ KFT.,ZFTK-250,Főmotor,HPB VM100S-54-40-15-08,,beázott,"szárítás után összeszerelés, egy másik ZFTK gépre fog felkerülni 
04.15. tekercselésre vár",,,,,,,,SZÉV tartakék lesz,,,
TH0471,0,M19066,2024.04.12.,TV,2024.04.23.,ZERLUX HUNGARY KFT.,CT-60,Revfej,Sauter,,az indextüske nem megy be a fejbe,"szétszerelés, összeszerelés: indextüske elejéből volt egy kicsi lepattanva, lefenés, csiszolás
04.16. készen van, már csak le kell próbálni",,"SP, BA",8 óra,,,,,,,,
TH0472,0,M22015,2024.04.18.,KP;TV,2024.05.29.,"FT LINE TERMELŐ, SZOLGÁLTATÓ ÉS KERESKEDELMI KFT.",VD-510S,Főorsó,Royal 20.000 RPM,151332,"18000 RPM-nél kézzel érezni, hogy akad","szétszerelés, csapágy csere, összeszerelés, járatás",,"SP, BA",8 óra,,4 db HCB7008-CT4-PSUL csapágy,,,,,,
TH0473,2,M17204,2024.04.22.,TI;SZ,,DOROTI PACK KFT.,MM-800S/MM-850SV,Főmotor,AiS100,CC2-10-2002,"fi-relét leveri, be se indul",,,,,,,,FÉMO,ügyfél cseremotort kapott: CC2-10-5024,,,
TH0474,0,M16285,2024.04.26.,PI;SZG,2024.05.24.,GIA FORM KFT.,VD-510S,Szerszámtár,,,"csigatengelyt csapágyazni kell (kúpgörgős csapágy kell), tárcsaforgató csapágy csere","összes csapágy beazonosítása:
1 db 6002 ZZ C2
2 db 30203 kúpgörgős csapágy
csigatengely vizsgálata","tárforgató AiB2,5 motor ellenőrzése",SP,3 óra,,"Csapágy / RNA4906-XL tűgörgős csapágy,10-00014953-00
2 db Csapágy / 6002-2Z/C2E SKF,10-00014954-00
2 db Csapágy / 30203-A,10-00014955-00
2 db Csapágy / 32009-X-XL,10-00014956-00",,,,,,
TH0475,0,M06118,2024.04.26.,KR,2024.07.23.,MEDIMETAL KFT.,TMV-510,"Körasztal (kicsi, fehér)",,,A hajtás túláram hiba - mérés alapján a motor zárlatos,"a körasztal motorral történő megforgatása után az irányváltási holtjáték beállítása szükséges 
szétszerelés, átvizsgálás, csapágycsere, tömítéscsere, összeszerelés, járatás, irányváltási holtjáték beállítása",A1-4096-os motor tekercseltetése,SP;BA,20 óra,-,"2 db 10-00004501-00 Csapágy / SKF 7201 BEP 
10-00002531-00 Csapágy / 6001 2RSH 
28 x 16 x 7 szimering",,Liker SZR2024/01319 - BET2024/02420,,,,
TH0476,0,M11023,2024.04.26.,TI;G,2024.05.22.,METÁLPLASZT KFT.,EmL-3000,Főorsó,10.000 RPM,SL07 1106037,megszorult,"köszörülés - Spinex
összeszerelés
behúzóerő: 7,6 kN 
szétszerelés, csapágyazás, összeszerelés, járatás",,SP,10 óra,,"4 db FAG HS7014-C-T-P4S-UL
2 db FAG HS7012-C-T-P4S-UL",,Spinex SZR2024_00985 - beérkezett 05.09.,,,,
TH0477,0,M11023,2024.04.26.,TI;G,2024.05.22.,METÁLPLASZT KFT.,EmL-3000,Főmotor,HPB VM100L,11011806B,a főorsó javítással egy időben kérik a főmotor felújítását is,"szétszerelés, csapágyazás, összeszerelés, járatás",,BA,6 óra,,"1 db 6207 ZZ C3 
1 db 6208 ZZ C3 ",,,,,,
TH0478,0,-,2024.04.10.,SZ,2024.04.24.,SANATMETAL KFT.,FX-380,Főmotor,Siemens,,nincs nullimpulzus,"szétszerelés, hézag újraállítás, összeszerelés, járatás",,BA;SP,4 óra,,,,,,,,
TH0479,0,M14106,2024.05.06.,G,2024.08.06.,SCHÖN+SANDT H KFT.,Pinacho ST-180/1000,Revfej,Pragati BTP-50,51646,rossz helyen ül le,"szétszerelés, főtengely átalakítás, összeszerelés, 06.13-án kiküldve Taksonyba",,SP,8 óra,,"PRAGATI / revolverfej tárcsával és szerszámtartókkal / BTP-50-8-R-415V,10-00009025-01",,,,,,
